No.,X,Y,Z
1.0,1.957218,0.0,0.0
35.0,-1.583422,1.150424,0.0
53.0,0.604813,-1.861425,0.0
46.0,-1.583422,-1.150424,0.0
20.0,0.604813,1.861425,0.0
55.0,1.583422,-1.150424,0.71
50.0,-0.604813,-1.861425,0.71
11.0,1.583422,1.150424,0.71
41.0,-1.957218,0.0,0.71
28.0,-0.604813,1.861425,0.71
47.0,-0.604813,-1.861425,2.13
21.0,-0.604813,1.861425,2.13
36.0,-1.957218,0.0,2.13
2.0,1.583422,1.150424,2.13
54.0,1.583422,-1.150424,2.13
51.0,0.604813,-1.861425,2.84
42.0,-1.583422,-1.150424,2.84
56.0,1.957218,0.0,2.84
29.0,-1.583422,1.150424,2.84
12.0,0.604813,1.861425,2.84
3.0,0.604813,1.861425,4.26
22.0,-1.583422,1.150424,4.26
48.0,0.604813,-1.861425,4.26
66.0,1.957218,0.0,4.26
37.0,-1.583422,-1.150424,4.26
57.0,1.583422,1.150424,4.97
52.0,1.583422,-1.150424,4.97
43.0,-0.604813,-1.861425,4.97
30.0,-1.957218,0.0,4.97
13.0,-0.604813,1.861425,4.97
4.0,-0.604813,1.861425,6.39
49.0,1.583422,-1.150424,6.39
38.0,-0.604813,-1.861425,6.39
23.0,-1.957218,0.0,6.39
67.0,1.583422,1.150424,6.39
58.0,0.604813,1.861425,7.1
14.0,-1.583422,1.150424,7.1
76.0,1.957218,0.0,7.1
31.0,-1.583422,-1.150424,7.1
44.0,0.604813,-1.861425,7.1
68.0,0.604813,1.861425,8.52
39.0,0.604813,-1.861425,8.52
5.0,-1.583422,1.150424,8.52
24.0,-1.583422,-1.150424,8.52
85.0,1.957218,0.0,8.52
45.0,1.583422,-1.150424,9.23
77.0,1.583422,1.150424,9.23
15.0,-1.957218,0.0,9.23
32.0,-0.604813,-1.861425,9.23
59.0,-0.604813,1.861425,9.23
86.0,1.583422,1.150424,10.65
25.0,-0.604813,-1.861425,10.65
6.0,-1.957218,0.0,10.65
40.0,1.583422,-1.150424,10.65
69.0,-0.604813,1.861425,10.65
93.0,1.957218,0.0,11.36
78.0,0.604813,1.861425,11.36
60.0,-1.583422,1.150424,11.36
33.0,0.604813,-1.861425,11.36
16.0,-1.583422,-1.150424,11.36
87.0,0.604813,1.861425,12.78
26.0,0.604813,-1.861425,12.78
100.0,1.957218,0.0,12.78
7.0,-1.583422,-1.150424,12.78
70.0,-1.583422,1.150424,12.78
61.0,-1.957218,0.0,13.49
79.0,-0.604813,1.861425,13.49
17.0,-0.604813,-1.861425,13.49
34.0,1.583422,-1.150424,13.49
94.0,1.583422,1.150424,13.49
88.0,-0.604813,1.861425,14.91
71.0,-1.957218,0.0,14.91
8.0,-0.604813,-1.861425,14.91
27.0,1.583422,-1.150424,14.91
101.0,1.583422,1.150424,14.91
18.0,0.604813,-1.861425,15.62
106.0,1.957218,0.0,15.62
62.0,-1.583422,-1.150424,15.62
80.0,-1.583422,1.150424,15.62
95.0,0.604813,1.861425,15.62
102.0,0.604813,1.861425,17.04
111.0,1.957218,0.0,17.04
9.0,0.604813,-1.861425,17.04
89.0,-1.583422,1.150424,17.04
72.0,-1.583422,-1.150424,17.04
96.0,-0.604813,1.861425,17.75
19.0,1.583422,-1.150424,17.75
63.0,-0.604813,-1.861425,17.75
107.0,1.583422,1.150424,17.75
81.0,-1.957218,0.0,17.75
90.0,-1.957218,0.0,19.17
103.0,-0.604813,1.861425,19.17
112.0,1.583422,1.150424,19.17
73.0,-0.604813,-1.861425,19.17
10.0,1.583422,-1.150424,19.17
108.0,0.604813,1.861425,19.88
82.0,-1.583422,-1.150424,19.88
115.0,1.957218,0.0,19.88
97.0,-1.583422,1.150424,19.88
64.0,0.604813,-1.861425,19.88
113.0,0.604813,1.861425,21.3
74.0,0.604813,-1.861425,21.3
104.0,-1.583422,1.150424,21.3
91.0,-1.583422,-1.150424,21.3
118.0,1.957218,0.0,21.3
109.0,-0.604813,1.861425,22.01
116.0,1.583422,1.150424,22.01
83.0,-0.604813,-1.861425,22.01
65.0,1.583422,-1.150424,22.01
98.0,-1.957218,0.0,22.01
119.0,1.583422,1.150424,23.43
114.0,-0.604813,1.861425,23.43
92.0,-0.604813,-1.861425,23.43
75.0,1.583422,-1.150424,23.43
105.0,-1.957218,0.0,23.43
84.0,0.604813,-1.861425,24.14
110.0,-1.583422,1.150424,24.14
99.0,-1.583422,-1.150424,24.14
117.0,0.604813,1.861425,24.14
120.0,1.957218,0.0,24.14
